Latitude,Longitude,Address,Street,City,State,Country,Zip,"Address components",Relevance,"Distance Meters"
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
-10.861639,-53.10404,"MT-322, São José do Xingu - MT, 78663-000, Brasil",MT-322,"São José do Xingu",MT,BRA,78663-000,"MT-322, São José do Xingu, MT, BRA, 78663-000",1.0,9355.1
32.885899,43.6093,"الرطبة, العراق",,الرطبة,,IRQ,,"الرطبة, IRQ",1.0,0.0
32.885899,43.6093,"الرطبة, العراق",,الرطبة,,IRQ,,"الرطبة, IRQ",1.0,0.0
32.885899,43.6093,"الرطبة, العراق",,الرطبة,,IRQ,,"الرطبة, IRQ",1.0,0.0
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
19.43253,-99.13321,"Plaza de la Constitución, Centro, 06010 Cuauhtémoc, CDMX, México","Plaza de la Constitución",Cuauhtémoc,CDMX,MEX,06010,"Plaza de la Constitución, Cuauhtémoc, CDMX, MEX, 06010",1.0,64.0
14.818892,-86.60074,"N 41, Salama, Honduras","N 41",Salama,,HND,,"N 41, Salama, HND",1.0,657.6
14.818892,-86.60074,"N 41, Salama, Honduras","N 41",Salama,,HND,,"N 41, Salama, HND",1.0,657.6
14.818892,-86.60074,"N 41, Salama, Honduras","N 41",Salama,,HND,,"N 41, Salama, HND",1.0,657.6
14.818892,-86.60074,"N 41, Salama, Honduras","N 41",Salama,,HND,,"N 41, Salama, HND",1.0,657.6
14.818892,-86.60074,"N 41, Salama, Honduras","N 41",Salama,,HND,,"N 41, Salama, HND",1.0,657.6
14.818892,-86.60074,"N 41, Salama, Honduras","N 41",Salama,,HND,,"N 41, Salama, HND",1.0,657.6
14.818892,-86.60074,"N 41, Salama, Honduras","N 41",Salama,,HND,,"N 41, Salama, HND",1.0,657.6
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
15.8564,121.1311,"3124 Pantabangan, Philippines",,Pantabangan,"Central Luzon",PHL,3124,"Pantabangan, Central Luzon, PHL, 3124",1.0,2517.4
7.159467,-66.24569,"Cedeño, República Bolivariana De Venezuela",,Cedeño,Bolívar,VEN,,"Cedeño, Bolívar, VEN",1.0,7461.4
-32.804592,-56.02879,"de Los Angeles, 97000 Durazno, Uruguay","de Los Angeles",Durazno,,URY,97000,"de Los Angeles, Durazno, URY, 97000",1.0,2964.8
-32.804592,-56.02879,"de Los Angeles, 97000 Durazno, Uruguay","de Los Angeles",Durazno,,URY,97000,"de Los Angeles, Durazno, URY, 97000",1.0,2964.8
14.818892,-86.60074,"N 41, Salama, Honduras","N 41",Salama,,HND,,"N 41, Salama, HND",1.0,657.6
3.904655,-73.0764,"502008 Puerto López, Colombia",,"Puerto López",,COL,502008,"Puerto López, COL, 502008",1.0,699.7
3.904655,-73.0764,"502008 Puerto López, Colombia",,"Puerto López",,COL,502008,"Puerto López, COL, 502008",1.0,699.7
3.904655,-73.0764,"502008 Puerto López, Colombia",,"Puerto López",,COL,502008,"Puerto López, COL, 502008",1.0,699.7
3.904655,-73.0764,"502008 Puerto López, Colombia",,"Puerto López",,COL,502008,"Puerto López, COL, 502008",1.0,699.7
14.818892,-86.60074,"N 41, Salama, Honduras","N 41",Salama,,HND,,"N 41, Salama, HND",1.0,657.6
14.818892,-86.60074,"N 41, Salama, Honduras","N 41",Salama,,HND,,"N 41, Salama, HND",1.0,657.6
3.904655,-73.0764,"502008 Puerto López, Colombia",,"Puerto López",,COL,502008,"Puerto López, COL, 502008",1.0,699.7
3.904655,-73.0764,"502008 Puerto López, Colombia",,"Puerto López",,COL,502008,"Puerto López, COL, 502008",1.0,699.7
33.694796,73.06453,"25, Islamabad, Pakistan",25,Islamabad,,PAK,,"25, Islamabad, PAK",1.0,983.4
-32.804592,-56.02879,"de Los Angeles, 97000 Durazno, Uruguay","de Los Angeles",Durazno,,URY,97000,"de Los Angeles, Durazno, URY, 97000",1.0,2964.8
28.1553,84.1965,"Thumki, Nepal",,Thumki,Gandaki,NPL,,"Thumki, Gandaki, NPL",1.0,190.1
6.7782,-8.9312,"Gbehyee, Liberia",,Gbehyee,,LBR,,"Gbehyee, LBR",1.0,4348.7
-9.175354,-74.36178,"Iparia, Ucayali, Perú",,Iparia,Ucayali,PER,,"Iparia, Ucayali, PER",1.0,0.0
15.8564,121.1311,"3124 Pantabangan, Philippines",,Pantabangan,"Central Luzon",PHL,3124,"Pantabangan, Central Luzon, PHL, 3124",1.0,2517.4
14.642516,-90.51314,"6 Calle, Guatemala, Guatemala","6 Calle",Guatemala,,GTM,,"6 Calle, Guatemala, GTM",1.0,10.9
14.44326,120.49951,"301, 2105 Mariveles, Philippines",301,Mariveles,"Central Luzon",PHL,2105,"301, Mariveles, Central Luzon, PHL, 2105",1.0,6.5
-29.53703,-62.26474,"2356 Argentina, Argentina",,Argentina,"Santiago del Estero",ARG,2356,"Argentina, Santiago del Estero, ARG, 2356",1.0,29.5
43.524673,12.1605,"Strada Provinciale di Pistrino, 06016 San Giustino PG, Italia","Strada Provinciale di Pistrino","San Giustino",Umbria,ITA,06016,"Strada Provinciale di Pistrino, San Giustino, Umbria, ITA, 06016",1.0,230.0
54,-2,"Skipton, BD23 6, United Kingdom",,Skipton,England,GBR,"BD23 6","Skipton, England, GBR, BD23 6",1.0,1301.2
